stars,body
"5,0","Amazon tarafından satılır ve gönderilir olarak görülen tüm ürünler kesinlikle orjinaldir. Bunu bilerek alışveriş yapabilirsiniz.Ürün standart Apple 20w şarj cihazı, piyasadan çok daha ucuza çok hızlı bir şekilde satın aldık. Hızlı şarj ediyor eski 5w şarja göre çok daha iyi. Amazona teşekkürler."
"5,0",Amazon'un kendi satışından aldım. Orijinal ürün.
"5,0",Ben orijinal olup olmadığı konusunda çekinceliydim. Direkt olarak seri no sorguladım fakat çıkmadı. Batarya ve kılıflar seri no sorgulamasında çıkmayabiliyormuş. Panik yapmayın. Kutu ve cihaz üzerindeki seri no tutuyor ve internetten araştırıp belli başlı kritik noktalara baktığımda orijinal olduğunu anladım. Benim gibi pimpirikli olan varsa yardımcı olur diye yazıyorum.
"1,0",Lütfen orjinal olmayan ürün satmayın. Orjinal diyerek güvenip aldım lakin qr geçersiz sayfaya ait. Başkaları mağdur olmasın diye yazıyorum
"4,0","Paketleme daha özenli olabilirdi..Cihazın seri numarası ve kutunun seri numarası tutuyor.Ürün orijinale benziyor fakat kutudaki QR kod okunmuyor telefon tarafından.Aynı zamanda 13 pro max cihazını %20 > %60 30 dk,  %20 > %100 1 saat 50 dk."
"5,0","Aynı fiyata hepsiburada'da başka bir satıcıdan aldım ürün sahte geldi, iade ettim sonrasında Amazon'da aynı fiyata ve Amazon tarafından satıldığını görünce direkt aldım. Size tavsiyem bilmediğiniz satıcıdan almayın, arayıp sorduğunuzda da orjinal diyorlar çok inanmayın. Hatta gidin 50 lira fazla verin Apple'ın kendisinden alın şüpheniz kalmaz. He olurda başka yerden aldıysanız ve şüphe ediyorsanız orjinalliğini anlamanın püf noktaları şunlar;1- Kutudani seri numarası ile adaptör üstündeki aynı olmalı2- Adaptörün üstündeki yağlı kağıt benzeri jelatinde Apple ibaresi yer almalı3- Garanti belgesinde Türkçe ise 15 sayfa olmalı."
"5,0",Piyasa göre hayli uygundu. Satıcı amazon olduğu için orijinal olduğuna güvenerek aldım. Üzerindeki qr çalışmıyor sahte vs yazanlar olmuş. Apple’a sordum meraktan. seri no ya da QR’dan sorgulama yapılmıyormuş bu ürünler için zaten. Ambalajı gayet kaliteli orjinallik bandı/koruma bandı vs var üzerinde. Özetle iyi bir alışveriş oldu.
"5,0","Defalarca başka firmalardan aldığım ve kopya olduğunu anlayıp iade ettiğim adaptörü amazon güvenilirliğiyle aldım ve bu sefer iade yok, kesinlikle orijinal, her şey için teşekkürler amazon!!"
"5,0",Ürünü akşam aldım öğleden önce elime ulaştı. Ürünün orijinalliği hakkında araştırma yaptım karşılaştırdım kesinlikle orijinal. Satıcı olarak Amazon tercih edilmeli. Kargo konusunda da direkt pakete konup yollandığı söyleniyor bana da o şekilde geldi ama amazonun çalıştığı kargo zaten öteki firmalar gibi üst üste yığınların olduğu bir kargo firması değil ezilme gibi bir sorunu daha önce de yaşamadım.
"1,0","Ürün , orijinal değil, normal adaptörlerden bile daha uzun sürede şarj ediyor."
"5,0","Saatlerce şarj başında bekleme devri bitti hızlı şarj,orjinal ürün."
"5,0",Ürünü alırken bir kişi  yorumda orjinal değil yazdı diye  ve fiyatı apple’ın kendi sitesinden daha ucuz diye şüphelenmiştim ama paketteki ve adaptördeki seri numaraları uyduğunu görünce rahatladım.Ürün orjinal ve primela çok hızlı ve düzgün teslim edildi 22 mart’ta satın aldım rahatça alabilirsiniz.
"1,0",Amazon satıyor güvenilir diye aldım arızalı çıktı iade ettim değişim istedim geldi yeni ürün oda bozuk çıktı hem orjinal hem satıcı amazon kime güvenip nasıl alacağız anlamadım ikincisi bir kaç gün çalıştı sonra bozuldu sağlam diye kutusunu da attım öyle iade gönderdik parası iade olur mu onu da bilmiyorum yazık günah paranıza yazık etmeyin almayın
"5,0",Orjinal ürünü piyasanın altında bir fiyata üstelik çok kısa bir sürede almak ancak Amazon kalitesiyle mümkün olurdu. Teşekkürler.
"5,0",Ailecek aldık çok memnunuz. %100 orijinal ürün.
"5,0","Amazon satıcısından aldığım ürünü orijinale ait özellikler doğrultusunda incelediğimde bir problem olmadığını gördüm. Aktif olarak da kullanmaktayım. 5W adaptörden sonra 20W adaptör günlük kullanımdaki konforu arttırmakta, kısa zaman aralıklarında yüksek verim almayı sağlamakta. Kablo olarak bende Belkin'in PD destekli Type-C'den Lightning'e kablosu vardı onu kullanmayı tercih ettim. Vaadedildiği şekilde %80'in altında 30 dakikada %50 şarj edebilmekte."
"5,0","Ürün orjinal, kargo lama yine efsane teşekkür ve tavsiye ederim.Apple ın harika gölü ile ekstradan gidip şarj aleti almak tamamen beyin kurgusu (yazık bizimle oynadıklarını düşünüyorlar, bırakın eğlensinler 🤘🏾)"
"5,0","Iphone 12 cihazım için sabah aldım akşam ev adresime teslim edildi,tereddüt etmeden Amazon satıcısından ürünü alabilirsiniz..Diğer çok bilinen bir siteden aldığım ürün orjinal değildi ve iade etmiştim...Tüm detaylarına baktım ve zaten ambalajından bile orjinal ürün olduğu belli oluyor..Teşekkürler"
"5,0",Orijinal değil diyenlere aldanmayın.Ben Apple‘ı aradım şarj adaptörleri sorgulanmıyor. Apple müşteri hizmetlerini söylediği şeyler cihazın üstünde yazıyordu ve orjinal olduğunu karşılıklı teyid ettik. Her şeyi geçtim ilk çıktığı günden bu yana Apple kullanıyorum. Baktığın zamanda eline aldığın zaman orijinal olduğunu zaten anlarsın. Düşünmeden alın
"5,0",Amazon.com.tr satıcısından 2 tane aldım ve ürünler orjinal.Bir arkadaş yorumlarda kargo paketinden bahsetmiş çok hak verdim dediği gibi sanki korunaksız gibi ama kargo şirketide başarılı hiç bir sorunu yoktu.
"5,0",Çok fazla sahtesi satılan şarj cihazı. Günün ekonomik şartlarında cihazlarınızı kesinlikle sahte ürünler ile riske atmayın. Apple ve amazon gibi satıcı haricinde başka biryerden satın almayınız.
"5,0",satıcı amazon.com.tr dikkat edinürün orijinal garanti tam olarak nasıl oluyor bilmiyorum ama aldığım vakitlerde apple'ın kendi sitesinden %25 daha ucuzdu
"5,0",Orijinal apple ürünü. Alırken tereddüt etmiştim ancak inciğine cıncıgına kadar inceledim. Amazon bu işte 1 numara başkasını tanımam gerçekten. 1 günde elime ulaştı.
"5,0",Amazona teşekkür ediyorum her ürünümü hem düzgün paketliyolar hem de süper hızlı gönderiyorlar.  Ürün hakkında konuşmak gerekirse ürünü amazon satıcısından aldım ve ürün orjinal aklınızda şüphe kalmasın.
"1,0",Ürün gayet güzel orijinale benziyor ama ürünle birlikte faturam neden gönderilmedi ??
"5,0",Yeni aldığım iphone için aldım. Satıcı amazon olarak satın aldım ve ürün orijinal. Kutudaki seri kod ile üründeki bire bir aynı. Hızlı gönderim için teşekkürler.
"4,0","Mecbur olduğum için aldım. Şuanda fiyatlar çok yüksek. 150bantlarında satılıyordu normalde, takip ederek almanızda fayda var"
"5,0",Satıcısı Amazon olan ürünü korkmadan alabilirsiniz. Ürün sıfır ve orjinaldi.
"5,0","Hızlı gönderi, orijinal ürün ve rakipsiz fiyatlar."
"5,0","Her ayrıntısına kadar inceledim orjinal çıktı,hiç tereddüt etmeden alınabilir. Amazon her zaman ki gibi yanıltmadı beni, hem uygun fiyat hem güvenilir firma."
"5,0",ürünü sabah 11 de sipariş verdim ertesi gün aynı saatte elime ulaştı. Amazon satıcısından aldım. Sizde buradan alın derim çünkü diğer satıcılar orjinallik konusund terettüt yaratıyor. fiyatı uygun olduğu için orjinal mi diye terettüt ettim ama ürün kesinlikle orjinal. kutu üzerindeki ve ürün üzerindeki seri no aynı.
"5,0","Apple'ın orijinal şarj adaptörü. Burada daha uygun bir fiyata satıldığından alınabilir, birden fazla Apple cihazınız varsa..."
"5,0",İndirimdeyken yakaladım 150 tl gibi uygun fiyata aldım. Ürün orjinal apple ve hızlı şarj ediyor o konuda içiniz rahat olsun.
"5,0",Apple ile gelen adaptörün bozulması yüzünden yeni bir adaptör aldım.  Adaptör 12 saatte hasarsız bir şekilde elime ulaştı. Teşekkürler amazon.
"2,0","Ürün orjinal ürüne lafım yok ama aras kargoyla gönderiyolar, sözde prime üyesiyiz ertesi gün teslimat var ama 5 gün sonra kargo şube müdürüyle telefonla kavga ettikten sonra teslim alabildim. Aras kargo hizmetini göz önünde bulundurarak sipariş edin :) Teslimattan dolayı 3 puanı kırdım"
"5,0",Satıcı Amazon olduğu için gönül rahatlığıyla 2 adet aldım. Piyasa fiyatından daha uyguna aldım teşekkürler Amazon :) (Orijinal ürün) Paketleme olarak da daha iyi paketlenebilirmiş (gelen paketin dışında da herhangi bir hasar yoktu adaptörlerimde de aynı şekilde hasarsız elime ulaştı)
"5,0","Bugüne kadar Apple'ın 5W şarj adaptörünü kullanıyordum, 20W ile çok daha hızlı şarj oluyor. Almışken orijinalini alın düzgün kullandığınız sürece en az dört sene kullanırsınız. Amazon'a da hızlı teslimat ve orijinal ürün sağladığı için teşekkür ediyorum."
"5,0","satıcısı amazon ise ürün orijinaldir, rahatlıkla alabilirsiniz."
"5,0",Ürün orijinal amazondan aldım. Çok memnunum indirim döneminde çok uygun fiyata geldi.
"5,0",Amazon gönderici ve satıcıdan aldım.Gayet temiz bir ve hızlı bir şekilde geldi teşekkür ederim.Apple'ı da böyle saçma bir iş yaptığı içinde tebrik ederim.
"5,0",Amazon un kalitesinden taviz yok iyiki aldım prime ile kargı hızı müthiş ürün orijinal paketleme hassas... calisanindan pakeylemecisine kargosuna çok ama çok teşekkürler
"1,0",Buzdolabı poşetini bile büyük kutuya koyup etrafına kağıt koyan firmanın böyle pahali bir ürünü zarfın icinde hic bir destek olmadan kargolaması hiç hoş değil.Şarj aletinin kutusunda hasar vardı ancak çalışır durumda..
"5,0","Bazı yorumlarda ürün orijinal mi değil mi diye tartışmalar olmuş, ürün orijinal, Amazon.com.tr'nin sattığı ve gönderdiği ürün,  tahmini kargo süresi 2 gün demesine rağmen 1 gün içerisinde geldi. Teşekkürler Amazon Türkiye <3"
"5,0",Satıcı Amazon ise gözünüz kapalı güven duyabilirsiniz. Apple için ise söze gerek yok sanırım.
"5,0",Ürün hızlı elime ulaştı amazonun kendisinden aldım. Seri kodu apple sistemde cıkmıyor ama adaptörlerde olabiliyormuş. Seri kodu kutu ve adaptör aynı. Ürün orijinal diye düşünüyorum.
"5,0",KALİTESİNDEN SÖZ ETMEYE GEREK ORİJİNAL APPLE ÜRÜNÜ OLDUĞU İÇİN.GAYET GÖNÜL RAHATLIĞIYLA ALIP KULLANILACAK ÜRÜNDÜR.AMAZONUN KENDİ SATIŞINDAN 228.77TL YE SATIN ALDIM TEŞEKKÜRLER AMAZON TÜRKİYE
"5,0",Amazon en güvenilir e-ticaret sitesidir net. Satıcı amazon olan ürünleri gönül rahatlığı ile alabilirsiniz ürün orjinal gönül rahatlığı ile alabilirsiniz. Kargo hızlı teslimat olmamasona rağmen çok hızlı geldi iyiki varsın amazon
"1,0","Apple üzerinden, ürünün seri numarasından kontrol ettiğimizde, herhangi bir bilgiye ulaşılamıyor."
"5,0",Satıcısı Amazon ise tereddüt etmeden satın alınabilir. Orijinal ürün teşekkürler Amazon Türkiye
"4,0",Yeni telefon alıyorsanız mecbur adaptör de alıyorsunuz. Malum apple artık adaptör vermiyor
"5,0","Satıcı Amazon.com.tr iken kafanız rahat olsun, Apple Türkiye garantili harika bir ürün."
"5,0","Kutudaki seri numarası ile cihazın şeffaf bandının seri numarası birebir aynı. Yüzde yüz orjinal gönül rahatlığıyla alabilirsiniz. Kolay Gelsin kargo firması bir harika. Gece sipariş verdim, ürünler öğlen elimdeydi 👏👏"
"5,0","Orijinal ürün. Tereddüte gerek yok. Tavsiye ederim. Apple adaptör hızlı şarj, Amazon hızlı gönderi. Teşekkürler"
"5,0",Orjinal Apple pil için güvenli hızda hızlı şarj sağlıyor. Teşekkürler
"5,0",Şarj aleti orijinal.Satıcı Amazon TR.
"5,0","Satın aldığım ürün Apple marka, gayet başarılı.Gerçek anlamda güvenli alışverişin adresi; “Amazon.com.tr” Teşekkür ederim."
"3,0","Ürün orijinal fakat, Kargolama özeni çok az, elektronik ürünü zarf ile gönderiyorsunuz. Özen gösterlimeli. Aynı gün teslimat için Prime üyelik alıyoruz fakat aynı gün gelmiyor hep ertesi güne sarkıyor."
"5,0",Spigen 27 W ile bu ürün arasında kalmıştım almışken apple alayım dedim. Gayet hızlı bir şekilde şarj ediyor. Ürün satıcısı amazon.com.tr idi orjinal bir şekilde geldi güvenle alış veriş yapabilirsiniz.
"5,0",Bir sorun görmedim herhalde orjinaldir.
"5,0",Satici amazon urun orjinal gonul rahatli ile alabilirsiniz.Kargo cok hizli paketleme gayet iyiydi hasar gormeden teslim aldim.orjinal apple kutusuna geldi.tavsiye ederim
"5,0",Hızlı şarj önemli. Amazon a uygun fiyat ve orijinal ürün için teşekkürler.
"5,0",Yorumlarda orjinal olmadığından bahseden arkadaşları görünce biraz tereddüt ettim ama satıcının amazon olduğunu görünce bütün soru işaretleri silindi. Gönül rahatlığıyla sipariş edebilirsiniz.
"5,0",Güzel ürün paketleme harika. Ücretsiz 6 taksite kadar ödeme şekli
"5,0","Orijinal ürün, amazon.com.tr satıcıydı. memnunum"
"5,0",Ürün orjinal gönül rahatlığı ile alın. Gönderi çok hızlı teşekkürler AMAZON
"2,0",Orjinalliği konusunda emin değilim seri numarası sorguladım da applede çıkmadı satıcıyla iletişime geçemedim
"4,0","Hizli kargo, ama sarj cihazinin kutusundaki guvenlik bandi yirtikti, orjinal gibi duruyor, satici amazon oldugu icin guvenip simdilik iade etmeyecegin. Fiyat uygun"
"5,0",Kaliteli orjinal
"5,0","Ertesi gün teslim edildi, tek sıkıntı kutuda gönderilmesi uygun olan ürünün zarfta gönderilmesi. Orijinal ürünü uygun fiyatla ulaştırmanız çok iyi, teşekkürler."
"5,0","Özenle Paketlenmiş, Hızlı kargo ile teslimat, uygun Fiyat. Daha ne olsun :)"
"5,0",Ürün kutu üzerindeki seri no ile adaptör üzerindeki seri no aynı ürün orjinal 2 adet koruma jelatini var kutu içerisinde adaptör gövdesinde ve adaptör uc kısmında
"5,0",Ürün orijinal kutusunda söz verilen tarihte geldi.Teşekkürler Amazon.
"5,0",marka ürün başka oluyor
"5,0",Pazar günü sabahtan sipariş ettiğim ürün pazartesi akşamı elime geçti emeği geçen herkese teşekkür ediyorum ürünü aldığım için çok memnun oldum
"5,0",Öncelikle amazon.com.tr tarafından gönderildiğine emin olun. Kesinlikle orjinal içindeki seri no ile kutudaki seri no birebir ve kaliteden anlaşılıyor teşekkürler amazon
"5,0",Sorunsuz
"5,0",Bir günde elimde ulaştı orijinal olduğu icin güvenerek aldım teşekkürler amazon
"5,0",Daha öncesinde de Troy mağazasından alışveriş yapmıştım. Paketlemesi yine özenliydi. Şaşırtmadı kalitesi beni. Teşekkür ederim çok memnun oldum...
"5,0",Amazon satıcısından aldım. Ürün orijinal kargo ve paketleme çok iyi.
"5,0",Kutu içerigi ve kalitesi iyi fakat ürünün seri sorgulaması vs yapılamıyor hatta ben becerememişimdir diye apple destege sordum orjinal olmadıgını belirtti
"5,0",Simdiye kadar 5w ile kaybettiğim zamana acıyorum
"5,0",Amazon tarafından gönderildi. Orijinal ürün. Farklı satıcılardan almanızı tavsiye etmem. Çünkü piyasada çok fazla yan sanayi ürün bulunmakta..
"5,0",Akşam sipariş ettim sabah geldi. Ürün orijinal fiyat uygun. Teşekkürler.
"5,0",Amazon’un satıcı olduğu için tereddüt etmeden aldım ürün orijinal ve çok güzel paketlenmiştir.Kargo hızlı ertesi gün elime ulaştı.Teşekkürler Amazon
"5,0",Apple ve diğer teknolojik market fiyatlarına göre oldukça uygun bir fiyat imkanı sunuyor. Hızlı teslimatta cabası. Gerçekten gülümsetiyor
"4,0",Kargo  beklenen süreden 2 gün önce geldi. Baya hızlıydı. İlk kullanım 30 dk da yaklaşık %25 şarj etti Daha hızlı şarj  olmasını beklerdim.
"5,0",Satıcısı amazon olan ürün orijinal
"5,0",Sipariş verdiğim günün ertesi gün ürün elime ulaştı. Ürün Amazon tarafından satılan orijinal Apple ürünü. Rahatlıkla alışveriş yapabilirsiniz.
"5,0",Orijinal üründe olması gereken tüm küçük ayrıntılar var.
"5,0",306 TL aldim. 248’e dustu. Bazen erken almamak gerekiyor.
"5,0",Kutu üzerindeki ve cihaz üzerindeki seri numaraları tutuyor. Ürün tamamen orjinal. Tavsiye ederim. Satıcıya çok teşekkür ediyorum…
"5,0",Kullanıyorum şu an hiç bir sıkıntı yok Orijinal ürün hızlı şarj ediyor
"5,0",Ürün orijinal. Hizlı dolduruyor kesinlikle değer. Apple boykot edip almamıştım ama onun ayıbı olsun diğer mağazalarda cok daha pahali
"5,0",Amazon’da fiyatı aşırı iyi ve orjinal
"5,0",Hızlı teslimat iyi fiyat orjinal ürün
"5,0",Birebir aynı ürün hızlı teslimat için buradan almayı tercih ettik
"5,0","Orijinal bir ürün, hızlı kargo Güler yüzlü teslimat gerçekten kaliteli bir ürün"
"5,0",Kesinlikle orjinal. Çok memnunum. Teşekkürler.
"5,0",Hediye kitap için çok teşekkürler harikasınız
"5,0",Alınması gereken bir ürün.
"5,0",Ürüne çakma yazan arkadaşların doğru söylediğini düşünmüyorum. Amazon üzerinden aldım ürün orjinal.
"5,0",Orijinal Apple ürünü. Belirtildiği şekilde hızlı şarj ediyor.
"5,0","Satici amazon ise gozunuz kapali alabilirsiniz , orjinal urun ve hizli gonderi :)"
"5,0",Ürün  kesinlikle orijinal gönül rahatlığı ile alabilirsiniz. Kargo hızlı ve paketlemede çok güzeldi. Teşekkürler amazon.
"5,0",Gözünüz kapalı alabilirsiniz
"5,0",Amazon kalitesi ve orjinalin ürün. Ödemeyi dün yaptım daha provizyondan düşmedi şimdi kullanıyorum :)) teşekkür ederim
"5,0","Mutlaka alınması gereken bir aksesuar, 40 dakika da 80% şarj harika.."
"5,0","Hızlı geldi, orjinal ürün ama satıcı amazon olmasına dikkat edin. Klasik adaptörden sonra bu bildiginiz rahatlık.."
"5,0",Kesinlikle orjinal  ve indirimde aldım
"5,0",Orijinal ürün gönül rahatlığıyla alabilirsiniz.
"5,0",Tavsiye ederim kaliteli
"5,0",Ürün Apple garantili 60 TL daha ucuz üstelik 12 taksit Amazon ürünler orjinal tereddüt etmeden alın
"5,0",Ürün anlatıldığı gibiydi özenle paketlenmiş hızlı kargo teşekkürler Amazon
"5,0",amazon garantisi ile hızlı kargo ve orjinal ürün.
"5,0",bu zamana kadar neden almamisim tam bir kurtarici orjinal urun.
"5,0","Urun orijinal ben indirimdeyken aldim, paketleme cok iyiydi ve 1 gunde elime ulasti, tesekkurler amazon"
"5,0",HIZLI VE GÜVENİLİR ÜRÜNORJİNAL KARGO HIZLI MÜKEMMEL
"5,0",Sarj cihazi orjinal.Alirken satici Amazon olmasina dikkat edin.
"5,0",Orjinal ürün gönül rahatlığıyla alabilirsiniz hızlı kargo teşekkürler amazon.com.tr (satıcısı).
"5,0",Ürün %100 orjinal şüpheniz olmasın ama özellikle Amazon satıcısından almanızı tavsiye ederim.
"5,0",Ürün orjinal mi bilmiyorum fakat gayet iyi çalışıyor 30 dakikada şarjımı 30 dan 98 e çıkardı
"5,0",48 saat içerisinde teslim edildi. Orijinal kutusunda orijinal ürün.
"5,0",Ürün Çok Hızlı Teslim Edildi ve Fiyatına Göre Şüphelerim Olmasına Rağmen Apple Orijinal Ürünüdür.
"5,0",Çok uyguna aldım ve çok hızlı geldi.
"5,0",Tüm sorgularını tek tek yaptım tamamen orijinal bir ürün gönül rahatlığıyla alabilirsiniz
"5,0",Endişe etmeden alabilirsiniz ürün orjinal ürün.
"5,0","Ürün az önce elime ulaştı. Orjinal ürün,zaten ürün kalitesi Apple olduğunu gösteriyor."
"5,0",Amazon satıcısı olan orjinal ürün. Kalitesi belli. Şarj performansı yüksek
"5,0","Sipariş verdikten sonra ertesi gün teslim edildi. Ürün orijinal, fiyatı çok uygun."
"5,0",Orjinal ve güzel ürün
"5,0","Bir Amazon klasiği, harika paketlenmiş ve orijinal. Daha ne olabilir ki…"
"5,0",Orijinal ürün. gönül rahatlığıyla alabilirsiniz.
"5,0",Adaptör için fena olmayan kutulamayla geldi. Gönül rahatlığıyla alabilirsiniz.
"5,0",Orjinal Ürün telefonumu çok hızlı şarj ediyor.
"5,0",amazon tarafından aldım.orijinal sorunsuz ürün.fiyat çok uygun piyasaya göre.
"5,0","Satıcı: amazon TRÜrün orijinal, paketleme iyi ve kargo hızlı."
"5,0",Satıcı amazon ise tereddütsüz alabilirsiniz orjinal ürün
"5,0",18 saatte elime ulaştı. Tavsiye ediyorum
"5,0",Akşam 11 de sipariş verdim öğlen elimdeydi inanılmaz hızlı ve kaliteli
"2,0",İnanılmaz derecede yavaş şarj ediyor. Original olmadigini dusunuyorum.
"5,0","Orijinal ürün, uygun fiyat, hızlı kargo ve iyipaketleme"
"5,0",Bu kadar zama rağmen 170₺ ye indirmişlerdi. Hızlı kargo. Teşekkürler.
"5,0",ÜRÜN %100 ORİJİNAL TEŞEKKÜRLER AMAZON AİLESİ GÜZEL AMBALAJ VE HIZLI KARGO.
"5,0",Hızlı kargo gerçek ürün teşekkürler
"5,0",Ürün orijinaldir gönül rahatlığıyla alabilirsiniz
"5,0","Ürün orjinal apple ürünü , iphone 13 pro ile sorunsuz çalışıyor."
"5,0",Gerçekten telefonu çok kısa bir sürede şarj ediyor ve orijinal
"5,0",amazon kalitesi orjinal ürün.
"5,0",Orjınal urun bence amazon dunyanin en iyisi hiz hizmet guven
"5,0",Yüze yüze ORJİNAL
"5,0",Hizli teslimat orjinal ürün uygun fiyat
"5,0",Ürün orijinal ve 1 günde kargo geldi teşekkürler Amazon
"5,0",Teslimat biraz yavaştı ancak sorunsuz ve ürün orjinal.
"5,0",Amazon satıcısı tarafından gönderilen ürün orijinal
"5,0",Amazon kendisininden alırsanız orjinal ürün geliyor
"5,0",Ürün orijinal ve hızlı kargo fakat paketleme zayıf
"5,0","Orijinal ürün, teşekkürler Amazon."
"5,0","Çok kaliteli bir ürün, amazona teşekkür ederiz."
"5,0",Orjinal ürün gönderici amazon zaten teşekkürler
"5,0",Ürün kesinlikle orjinal güvenerek alabilirsiniz
"1,0",Çoğunlukta olan yorumların aksine ürün sahteydi
"5,0",Hızlı kargo ve uygun fiyat için teşekkürler amazon.
"5,0",Ürün orijinal ve kargo hızından memnun kaldım
"5,0",Paketleme hızlı kargo orjinalin ürün
"5,0",Ürün orijinal İçinde garanti belgesi de var
"5,0",Orjinal hızlı şarj düşünmeden alabilirsiniz
"5,0","Orjinal ürün,  hızlı teslimat"
"5,0",Satıcı Amazon ve gelen ürün orijinal.
"5,0","Orjinal ürün, teşekkürler."
"5,0",Beklediğim gibi problemsiz
"1,0",Bir ay bile dayanmadı.
"5,0",Orijinal ürün
"5,0",Orjinal urun hizli kargo
"5,0",Orjinal
"5,0",Ürün orijinal
"5,0",Orjinal ürün
"5,0",Kaliteli
"5,0",Orijinal
"5,0",Harika
"5,0",10/10
"5,0",Bu ürünün piyasada özellikle de e-ticaret sitelerinde mezbul miktarda sahtesi mevcut. Alacak kişilere bir kaç tavsiye:Ürünün referans fiyatı Apple in tavsiye ettiği fiyattır. Onu dikkate alın ve o civarda bir fiyata alabilirsiniz.kimse 10 liralık ürünü 5 liraya satamaz.Ürünün kutusu fikir verir. Yapistirmalari etiketlerin baskı şekli. Yazıların resimlerin  netliğine dikkat ederek kutuyu acmadan orijinalliğini anlayabilirsiniz.Kutunu sağ tarafında Türkçe uyumluluk yazısı vardır.Cihazlardan yeterince para kazanan Apple bununla yetinmeyip aksesuardan da ciddi paralar kazanmak isteyince böyle bir piyasa çıkıyor ortaya.Neyse çok takmayın kafaya .Son tavsiye sahte ürünlerden uzak durun.
"5,0","Satıcısı Amazon ise kesinlikle içiniz rahat bir şekilde alabilirsiniz. Ürünün kablo çıkışı ""Type C"" ve hızlı şarj özelliğine sahiptir. (Eski iPhone serilerine ait telefonları da şarj edebilirsiniz, örneğin iPhone 5-'e kadar)iPhone 11 telefonu yaklaşık 1 saat içerisinde %85 seviyesine getiriyor. Burada önemli nokta ise telefonunuzun pilini %20'nin altına düşürmeyin ve direkt şarja takınız. %85'e kadar şarjdan çıkarabilir ve kullanabilirsiniz (önermiyorum) AMA %85 ile 99 arasında lütfen telefonu şarjdan çıkarmayınız.Bu basit kurala eğer uyabilir iseniz, telefonunuzun pil sağlığı normalden daha uzun ömürlü olacaktır."
"5,0",orjinal
"5,0",bir kişi orjinal değil dediği için şüphelenmiştim ama geldiğinde orjinal olduğunu anladım. kutudaki seri no ile adaptörünki aynı ve adaptörde 2 koruyucu kılıf olmalı ve birinde yazılar olmalı. sitede seri no sorgulaması adaptörler için değil orda çıkmaması sizi endişelendirmesin telefonlar ve cihazlar için o sorgu.
